date,sarima_forecast,sarima_lower_95,sarima_upper_95
2021-01-01,3624.8959681983993,3027.7926483876836,4221.999288009115
2021-01-02,3567.61217396333,2830.483364012586,4304.740983914074
2021-01-03,5069.940266345329,4269.064204974675,5870.816327715984
2021-01-04,6059.758555628079,5227.317405475823,6892.1997057803355
2021-01-05,5814.609035258128,4965.996364072432,6663.221706443824
2021-01-06,2655.5014561924695,1798.4531690819454,3512.5497433029936
2021-01-07,2972.248627230071,2110.746787783608,3833.7504666765344
2021-01-08,3228.890228836789,2274.08047804691,4183.699979626668
2021-01-09,3165.3663718566127,2164.9103820916025,4165.822361621623
2021-01-10,4669.964369184032,3646.2122197644385,5693.716518603625
2021-01-11,5671.01265490821,4635.1098435152235,6706.915466301196
2021-01-12,5416.7343067631155,4374.402666441383,6459.065947084848
2021-01-13,2268.106389836788,1222.3319448209795,3313.8808348525963
2021-01-14,2586.19961033688,1538.5584422987872,3633.840778374973
2021-01-15,2851.172980821237,1742.7773272316558,3959.5686344108185
2021-01-16,2794.741475954042,1655.5167075538786,3933.9662443542056
2021-01-17,4308.436474791817,3153.1589412546195,5463.714008329014
2021-01-18,5320.772309451436,4156.99731969969,6484.547299203182
2021-01-19,5076.24964875926,3907.9152774711647,6244.584020047355
2021-01-20,1941.0409865188851,770.2267320358358,3111.8552410019347
2021-01-21,2272.492210722317,1100.3083443059293,3444.6760771387044
2021-01-22,2552.814353946874,1328.3261026036978,3777.3026052900495
2021-01-23,2512.6058163166713,1261.2383485257492,3763.9732841075934
2021-01-24,4043.749316594053,2778.259658957285,5309.238974230821
2021-01-25,5074.7027693009895,3801.6749763265034,6347.730562275476
2021-01-26,4849.395299586227,3572.285567935818,6126.505031236637
2021-01-27,1734.5737484138854,455.2195865162596,3013.9279103115114
2021-01-28,2086.998738926562,806.3887555569472,3367.608722296177
